IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
1,26103,1,2,CAMIONETA,TOYOTA,,L-0534809,LN-40097687,BEIGE,EAA 938,9026,18,31/12/1980,07.22891.01.0017,1,17000000,17000000,MALO,DEPARTAMENTO DE IMPRENTA,1980
2,26103,1,2,CAMIONETA,ISUZU,,204456,JACUBS-521E4447716,,EAA 940,440,56,31/12/1983,07.22861.01.0012,1,30000000,30000000,MALO,DEPARTAMENTO DE IMPRENTA,1983
3,26103,1,2,CAMIONETA,TOYOTA,,LO-342729,LN40-040278,BLANCO,EAA 942,685,74,31/12/1981,07.16776.01.0017,1,15000000,15000000,MALO,DEPARTAMENTO DE IMPRENTA,1981
4,26103,1,2,CAMIONETA,MITSUBISHI,,4D56BK1640,DLO49VHJ400601,AZUL,EAA 937,2310,4,31/12/1988,07.22967.01.0028,1,30000000,30000000,MALO,DEPARTAMENTO DE IMPRENTA,1988
5,26103,1,2,JEEP,LAN,,12J357890,SALLDHMC8BA305894,BLANCO,EAA 932,2149,125,31/12/1988,07.23034.00.0095,1,50000000,50000000,MALO,DEPARTAMENTO DE IMPRENTA,1988
6,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GQ0191,DJNK340SP-01473,BLANCO,5665,5489,149,31/12/1995,07.22891.01.0043,1,32069392,32069392,MALO,DEPARTAMENTO DE IMPRENTA,1995
7,26103,1,2,CAMIONETA,TOYOTA,,L-0534809,LN-40097687,BEIGE,EAA 938,9026,18,31/12/1980,07.22891.01.0017,1,17000000,17000000,MALO,DEPARTAMENTO DE IMPRENTA,1980
8,26103,1,2,CAMIONETA,ISUZU,,204456,JACUBS-521E4447716,,EAA 940,440,56,31/12/1983,07.22861.01.0012,1,30000000,30000000,MALO,DEPARTAMENTO DE IMPRENTA,1983
9,26103,1,2,CAMIONETA,TOYOTA,,LO-342729,LN40-040278,BLANCO,EAA 942,685,74,31/12/1981,07.16776.01.0017,1,15000000,15000000,MALO,DEPARTAMENTO DE IMPRENTA,1981
10,26103,1,2,CAMIONETA,MITSUBISHI,,4D56BK1640,DLO49VHJ400601,AZUL,EAA 937,2310,4,31/12/1988,07.22967.01.0028,1,30000000,30000000,MALO,DEPARTAMENTO DE IMPRENTA,1988
11,26103,1,2,JEEP,LAN,,12J357890,SALLDHMC8BA305894,BLANCO,EAA 932,2149,125,31/12/1988,07.23034.00.0095,1,50000000,50000000,MALO,DEPARTAMENTO DE IMPRENTA,1988
12,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GQ0191,DJNK340SP-01473,BLANCO,5665,5489,149,31/12/1995,07.22891.01.0043,1,32069392,32069392,MALO,DEPARTAMENTO DE IMPRENTA,1995
13,26103,1,2,CAMIONETA,MITSUBISHI,,4D56-EG6458,DONV440NJ00957,AZUL,EAA 955,5486,128,31/12/2005,07.22851.01.0028,1,40000000,40000000,MALO,DEPARTAMENTO DE IMPRENTA,2005
14,26103,1,1,CAMIONETA,MITSUBISHI,1992,4D56-EK9011,DJNK-340NP02000,AZUL,EAA 945,10926,205,31/12/1992,07.22891.01.0070,1,31925753,31925753,MALO,DEPARTAMENTO DE IMPRENTA,1992
15,26103,1,2,CAMIONETA,MITSUBICHI,1995,4D56GM5354,DJNK3405801674,,AJV 354,807,211,31/12/1995,07-22891-01-0081,1,65300000,65300000,MALO,DEPARTAMENTO DE IMPRENTA,1995
16,26103,1,2,CAMIONETA,MITSUBICHI,1996,4D56HH6307,DONVJ240TJ00146,,AXK 964,808,213,31/12/1996,07-22891-01-0075,1,32069392,32069392,MALO,DEPARTAMENTO DE IMPRENTA,1996
17,26103,1,2,CAMIONETA,NISSAN,1998,,VSKTVLOV0313703,,,809,212,31/12/1998,07-22891-01-0074,1,75000000,75000000,MALO,DEPARTAMENTO DE IMPRENTA,1998
18,26103,1,1,AUTOMOVIL,TOYOTA,,2L-1431318,LX70-0016247,GRIS,,1557,11,31/12/1987,07.22891.01.0016,1,20000000,20000000,ROBADO,ROBADO,1987
19,26103,1,2,CAMIONETA,MITSUBISHI,1994,4M40AK7346,DONV460SJ00279,ROJO,,2732,146,31/12/1994,07.22891.01.0041,1,87000000,87000000,ROBADO,ROBADO,1994
20,26103,1,2,JEEP,TOYOTA,,127194,OJ-62818,BEIGE,,923,63,31/12/1982,07.03011.00.0001,1,20000000,20000000,ROBADO,ROBADO,1982
21,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GM5813,DJNK340-SP01722,AZUL,EAA 948,2830,144,31/12/1994,07.22891.01.0041,1,87000000,87000000,ROBADO,ROBADO,1994
22,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GS4635,DJNK340SP-06170,AZUL,EAA 890,4506,169,31/12/1995,07.22890.01.0043,1,65300000,65300000,ROBADO,ROBADO,1995
23,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GP9220,DJNK340SP-03503,ROJO,EAA 917,5485,157,31/12/1995,07.22896.01.0026,1,33028800,33028800,ROBADO,ROBADO,1995
24,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GP9413,DJNK340SP-03529,BLANCO,,5488,148,31/12/1995,07.22870.00.0132,1,32069392,32069392,ROBADO,ROBADO,1995
25,26103,1,2,CAMIONETA,MITSUBISHI,1996,4D56-HH9364,DJNK340TP-03540,BLANCO,,5498,178,31/12/1996,07.22869.01.0172,1,30925753,30925753,ROBADO,ROBADO,1996
26,26103,1,2,CAMIONETA,MITSUBISHI,1996,4D56HH9905,DJNK340TP-03604,GRIS,EAA 935,5505,185,31/12/1996,07.22891.01.0059,1,30925753,30925753,ROBADO,ROBADO,1996
27,26103,1,2,CAMIONETA,MITSUBISHI,,4D56-HH9076,,,,5508,188,31/12/1996,07.22891.01.0061,1,30925753,30925753,ROBADO,ROBADO,1996
28,26103,1,2,CAMIONETA,FORD,2005,C20165547,8AFDR13F85J383211,BLANCO,EAD 301,10090,242,12/31/2005,07.22870.00.1686,1,115605455,115605455,BUENO,PROYECTO UCP-MEC/BID,1996
29,26103,1,2,CAMIONETA,FORD,2005,C20170385,8AFDR13F15J395913,ROJO,EAD 302,10091,245,12/31/2005,07.22870.00.1689,1,115605455,115605455,BUENO,PROYECTO UCP-MEC/BID,2005
30,26103,1,2,CAMIONETA,FORD,2005,C20165606,8AFDR13F25J383849,BLANCO,EAD 303,10092,246,12/31/2005,07.22870.00.1690,1,115605455,115605455,MALO,PROYECTO UCP-MEC/BID,2005
31,26103,1,2,CAMIONETA,FORD,2005,C20165353,8AFDR13F15J382868,BLANCO,EAD 434,10095,243,31/12/2005,07.22870.00.1687,1,115605455,115605455,BUENO,PROYECTO UCP-MEC/BID,2005
32,26103,1,2,CAMIONETA,FORD,2005,C20162976,8AFDR13F95J374968,ROJO,EAD 435,10094,244,31/12/2005,07.22870.00.1688,1,115605455,115605455,BUENO,PROYECTO UCP-MEC/BID,2005
33,26103,1,2,CAMIONETA,FORD,2010,D56284001,8AFER13PXAJ279925,,EAF 731,1,,15/12/2010,07.22870.00.3237,1,150000000,150000000,MUY BUENO,PROYECTO UCP-MEC/BID,2010
34,26103,1,2,CAMIONETA,FORD,2010,D56284062,8AFER13P1AJ279926,,EAF 729,2,,15/12/2010,07.22870.00.3238,1,150000000,150000000,MUY BUENO,PROYECTO UCP-MEC/BID,2010
35,26103,1,2,CAMIONETA,FORD,2010,D56284185,8AFER13P6AJ281042,,EAF 726,3,,15/12/2010,07.22870.00.3239,1,150000000,150000000,MUY BUENO,PROYECTO UCP-MEC/BID,2010
36,26103,1,2,CAMIONETA,MITSUBISHI,,4D56GR8437,DJNK340SP-05537,GRIS,EAA 898,4499,162,31/12/1995,07.22870.01.0049,1,65300000,65300000,BUENO,PROYECTO UCP-MEC/BID,2010
37,26103,1,2,CAMIONETA,MITSUBISHI,1996,4D56HH8168,DJNK340TP-03457,AZUL,EAA 907,5507,187,31/12/1996,07.22891.01.0060,1,32069392,32069392,BUENO,PROYECTO UCP-MEC/BID,1995
